iter	MultiClass	F1:class=0	F1:class=1	F1:class=2	F1:class=3	F1:class=4	F1:class=5	F1:class=6	F1:class=7	F1:class=8	F1:class=9
162	0.04939364227	1	0.9939686369	0.9960672149	0.9553571429	0.975877193	0.9718151071	0.9755319149	0.9570200573	0.9915110357	0.9908256881
163	0.04914465818	1	0.9939686369	0.9960672149	0.9576837416	0.975877193	0.9718151071	0.9755319149	0.9597701149	0.9915110357	0.9908256881
164	0.04913057507	1	0.9939686369	0.9960672149	0.9576837416	0.975877193	0.9718151071	0.9755319149	0.9597701149	0.9915110357	0.9908256881
165	0.04879092897	1	0.9939686369	0.9960672149	0.9576837416	0.975877193	0.9718151071	0.9755319149	0.9597701149	0.9915110357	0.9908256881
166	0.04872215897	1	0.9939686369	0.9960672149	0.9576837416	0.9769989047	0.9729119639	0.9755319149	0.9597701149	0.9915110357	0.9908256881
167	0.048210303	1	0.9939686369	0.9960672149	0.9576837416	0.9769989047	0.9729119639	0.9755319149	0.9597701149	0.9915110357	0.9908256881
168	0.04799638088	1	0.9939686369	0.9960672149	0.9576837416	0.9781181619	0.9729119639	0.976051091	0.9597701149	0.9915110357	0.9908256881
169	0.04772677401	1	0.9939686369	0.9960672149	0.9576837416	0.9781181619	0.9729119639	0.976051091	0.9597701149	0.9915110357	0.9908256881
170	0.04744042886	1	0.9939686369	0.9960672149	0.9553571429	0.9781181619	0.9729119639	0.976051091	0.9570200573	0.9915110357	0.9908256881
171	0.04730166158	1	0.9939686369	0.9960672149	0.9576837416	0.9781181619	0.9729119639	0.976051091	0.9597701149	0.9915110357	0.9908256881
172	0.04719057322	1	0.9939686369	0.9960672149	0.9553571429	0.9781181619	0.9729119639	0.976051091	0.9570200573	0.9915110357	0.9908256881
173	0.04713032443	1	0.9939686369	0.9960672149	0.9553571429	0.9781181619	0.9729119639	0.976051091	0.9570200573	0.9915110357	0.9908256881
174	0.04703202527	1	0.9939686369	0.9960672149	0.9553571429	0.9781181619	0.9729119639	0.976051091	0.9570200573	0.9915110357	0.9908256881
175	0.04692750892	1	0.9939686369	0.9960672149	0.9553571429	0.9781181619	0.9729119639	0.976051091	0.9570200573	0.9915110357	0.9908256881
176	0.0467242443	1	0.9939686369	0.9960672149	0.9553571429	0.9781181619	0.9729119639	0.976051091	0.9570200573	0.9915110357	0.9908256881
177	0.04651923178	1	0.9939686369	0.9960672149	0.9576837416	0.9781181619	0.9729119639	0.976051091	0.9597701149	0.9915110357	0.9908256881
178	0.04643275761	1	0.9939686369	0.9960672149	0.9553571429	0.9781181619	0.9729119639	0.976051091	0.9570200573	0.9915110357	0.9908256881
179	0.04621092603	1	0.9939686369	0.9960672149	0.9553571429	0.9781181619	0.9729119639	0.976051091	0.9570200573	0.9915110357	0.9908256881
180	0.04604709896	1	0.9939686369	0.9960672149	0.9553571429	0.9781181619	0.9729119639	0.976051091	0.9570200573	0.9915110357	0.9908256881
181	0.04588297636	1	0.9939686369	0.9960672149	0.9553571429	0.9781181619	0.9729119639	0.976051091	0.9570200573	0.9915110357	0.9908256881
182	0.04569741696	1	0.9939686369	0.9960672149	0.9553571429	0.9781181619	0.9729119639	0.976051091	0.9570200573	0.9915110357	0.9908256881
183	0.04548767189	1	0.9939686369	0.9960672149	0.9553571429	0.9781181619	0.9729119639	0.976051091	0.9570200573	0.9915110357	0.9908256881
184	0.0452542446	1	0.9939686369	0.9960672149	0.9553571429	0.9781181619	0.9729119639	0.9770911028	0.962962963	0.9915110357	0.9908256881
185	0.0451274897	1	0.9939686369	0.9960672149	0.9553571429	0.9781181619	0.9729119639	0.9770911028	0.962962963	0.9915110357	0.9908256881
186	0.04507792766	1	0.9939686369	0.9960672149	0.9553571429	0.9781181619	0.9729119639	0.9770911028	0.962962963	0.9915110357	0.9908256881
